Name,Age,Gender,City,Department,Salary
Divya,22,Male,Salem,Operations,33407
Pooja,32,Male,Thoothukudi,Sales,42485
Manoj,41,Female,Chennai,Sales,35846
Rahul,44,Female,Salem,Sales,25961
Divya,22,Male,Madurai,Finance,22479
Prakash,24,Male,Thoothukudi,Marketing,45273
Sneha,42,Female,Thoothukudi,Marketing,44398
Suresh,40,Female,Erode,Finance,29942
Naveen,26,Male,Thoothukudi,Marketing,41789
Swathi,42,Male,Trichy,Sales,58451
Swathi,37,Male,Erode,Support,58098
Prakash,36,Male,Chennai,Support,48087
Anitha,22,Male,Madurai,Operations,49236
Vijay,31,Male,Trichy,HR,38667
Ajith,43,Female,Trichy,Finance,27419
Anitha,43,Male,Erode,Support,57388
Naveen,24,Female,Madurai,Sales,20870
Keerthi,35,Male,Salem,Operations,53719
Sneha,31,Male,Thoothukudi,IT,37314
Ravi,35,Male,Coimbatore,Marketing,58722
Vijay,27,Female,Tirunelveli,HR,53595
Naveen,35,Male,Coimbatore,Finance,31615
Vijay,23,Female,Chennai,Marketing,40135
Ajith,29,Male,Tirunelveli,Finance,29999
Anitha,28,Female,Salem,Operations,29513
Suresh,28,Female,Madurai,Sales,54444
Anitha,28,Female,Vellore,Operations,54511
Kavya,25,Female,Salem,Marketing,23683
Ravi,42,Male,Thoothukudi,Operations,53121
Priya,45,Female,Nagercoil,Operations,56585
Ajith,31,Female,Trichy,Support,26954
Divya,45,Female,Tirunelveli,HR,32443
Pooja,45,Female,Thoothukudi,Marketing,35327
Sneha,44,Male,Tirunelveli,Support,21781
Kavya,27,Female,Chennai,HR,37806
Suresh,33,Male,Coimbatore,Marketing,45644
Sneha,23,Male,Nagercoil,Marketing,53186
Ravi,22,Female,Erode,IT,45327
Lakshmi,41,Male,Trichy,Finance,48163
Suresh,23,Female,Tirunelveli,Finance,55321
Lakshmi,29,Female,Erode,Support,49276
Naveen,38,Female,Trichy,Support,33310
Vijay,26,Female,Chennai,Sales,38195
Naveen,23,Male,Madurai,Operations,28526
Ravi,36,Male,Madurai,Marketing,22361
Sneha,40,Male,Vellore,HR,35047
Kavya,40,Male,Trichy,Finance,52452
Naveen,34,Male,Chennai,Sales,31167
Lakshmi,41,Female,Nagercoil,Operations,49318
Pooja,41,Male,Trichy,Marketing,26888
Rahul,37,Male,Chennai,Support,37553
Priya,45,Female,Madurai,Operations,35462
Rahul,42,Female,Thoothukudi,IT,32609
Kavya,26,Female,Erode,Finance,32382
Pooja,31,Male,Nagercoil,HR,45224
Keerthi,35,Male,Tirunelveli,Sales,45224
Karthik,44,Male,Trichy,IT,48498
Sneha,35,Male,Salem,Sales,33021
Priya,36,Male,Nagercoil,Sales,41680
Divya,23,Female,Thoothukudi,HR,39958
Naveen,38,Male,Salem,HR,22293
Pooja,40,Female,Erode,HR,58623
Karthik,36,Male,Erode,IT,59094
Ajith,41,Female,Erode,Operations,25864
Ravi,23,Female,Chennai,Sales,53588
Keerthi,45,Male,Chennai,Marketing,52908
Keerthi,31,Female,Madurai,Finance,55698
Meena,26,Male,Chennai,Sales,35018
Arun,45,Male,Coimbatore,Sales,51667
Prakash,32,Male,Vellore,Sales,50035
Meena,41,Female,Madurai,Operations,55107
Meena,41,Female,Trichy,Marketing,29050
Rahul,31,Male,Chennai,Marketing,25870
Kavya,27,Male,Erode,Finance,34779
Ravi,44,Male,Chennai,Operations,40771
Karthik,23,Female,Madurai,IT,33010
Sneha,44,Female,Coimbatore,IT,22194
Ajith,36,Female,Chennai,Sales,40476
Karthik,29,Male,Chennai,Operations,43945
Karthik,35,Male,Salem,Support,59056
Arun,26,Male,Vellore,Support,36875
Suresh,44,Female,Vellore,IT,47843
Karthik,43,Male,Salem,HR,31514
Suresh,35,Male,Thoothukudi,IT,35959
Manoj,43,Female,Vellore,Marketing,45995
Keerthi,23,Male,Coimbatore,Sales,49041
Keerthi,34,Female,Salem,Sales,23786
Rahul,27,Male,Vellore,IT,24924
Rahul,36,Female,Trichy,Sales,42742
Pooja,44,Female,Tirunelveli,Marketing,20791
Sneha,31,Female,Vellore,Finance,23718
Lakshmi,23,Female,Erode,Support,49339
Manoj,44,Female,Trichy,HR,58761
Lakshmi,35,Female,Vellore,Sales,52979
Divya,27,Male,Thoothukudi,Sales,38067
Prakash,23,Male,Madurai,Operations,51939
Meena,43,Female,Coimbatore,Marketing,20303
Manoj,43,Female,Salem,Marketing,26553
Manoj,25,Female,Salem,IT,21318
Sneha,31,Male,Chennai,Support,41357
anu,22,Female,Thuckalay,BCA,500000
